label,is_sig_session,n_stage2,best_pair,best_r,best_abs_r,best_q_fdr,top_task_indices,top_h1_zero_mean,rest_h1_zero_mean,delta_h1_zero,rho_h1_zero,p_h1_zero,top_h1_total_persistence_mean,rest_h1_total_persistence_mean,delta_h1_total_persistence,rho_h1_total_persistence,p_h1_total_persistence,top_lambda2_mean,rest_lambda2_mean,delta_lambda2,rho_lambda2,p_lambda2,top_aspl_mean,rest_aspl_mean,delta_aspl,rho_aspl,p_aspl,top_Q_Ricci_mean,rest_Q_Ricci_mean,delta_Q_Ricci,rho_Q_Ricci,p_Q_Ricci,top_abs_Q_Ricci_mean,rest_abs_Q_Ricci_mean,delta_abs_Q_Ricci,rho_abs_Q_Ricci,p_abs_Q_Ricci,top_E_Ricci_mean,rest_E_Ricci_mean,delta_E_Ricci,rho_E_Ricci,p_E_Ricci,top_qricci_cross_any_mean,rest_qricci_cross_any_mean,delta_qricci_cross_any,rho_qricci_cross_any,p_qricci_cross_any
P1,1,1,p00 x Delta_mean,0.48530588094269,0.48530588094269,0.0065599581036678,"1,2,10,13,19,25,26,27",0.375,0.18181818181818182,0.19318181818181818,0.22308168876157186,0.23603548385721468,0.11235112120875458,0.023705970190823124,0.08864515101793145,-0.17797528952581051,0.3467401262898202,7.584748789732622,7.528887788992248,0.055861000740374145,0.04872080088987764,0.798207654785929,1.8034052622329015,1.457739720917391,0.3456655413155105,-0.07897664071190211,0.6782581459823961,-0.0017693063135547,-0.0016525622975103,-0.00011674401604439997,-0.08855267604022843,0.6416954471026217,0.0017693063135547,0.0016525622975103,0.00011674401604439997,0.08855267604022843,0.6416954471026217,-7.579988887361129,-8.512849228610671,0.9328603412495422,0.3686318131256952,0.04501571377538029,0.0,0.0,0.0,,
P10,0,0,p01 x Theta_mean,0.3472832610193443,0.3472832610193443,,"0,4,9,11,14,21,27,29",0.0,0.2727272727272727,-0.2727272727272727,-0.1251621121570517,0.5098890037065772,0.1967865436529569,0.09711888418094387,0.09966765947201302,0.003796790585386947,0.9841133698108838,3.4409739464512716,3.3478635967965173,0.09311034965475429,-0.06874304783092325,0.7181370776973052,2.329198869438632,2.193091881128015,0.13610698831061718,-0.03136818687430478,0.869297908673841,-0.0559416813321367,-0.04541776865370831,-0.010523912678428393,-0.20046723897549198,0.28815495879358405,0.0559416813321367,0.04541776865370831,0.010523912678428393,0.20046723897549198,0.28815495879358405,-7.247968732226414,-8.219268305351704,0.9712995731252905,0.08342602892102337,0.661174334820857,0.0,0.0,0.0,,
P11,1,1,p00 x Alpha_mean,-0.4412100094141277,0.4412100094141277,0.014661933688572,"1,2,5,6,8,18,25,29",0.125,0.0,0.125,0.18236047045259202,0.33479140792369694,0.259198078508685,0.2164374024035049,0.042760676105180084,0.06829810901001113,0.7198884259266681,2.335954286782116,2.89929837958489,-0.5633440928027742,-0.22180200222469412,0.23880395639710442,2.69975184902287,2.470692077163225,0.229059771859645,-0.029143492769744164,0.8784968881047432,-0.050757059215337186,-0.03331140851071899,-0.017445650704618197,-0.17823765461295618,0.34601810560722013,0.050757059215337186,0.06006336525944958,-0.009306306044112395,0.11815754631645407,0.5340335677105209,-7.671765574961961,-7.845234397051232,0.17346882208927106,0.05583982202447163,0.7694609720013511,0.25,0.045454545454545456,0.20454545454545453,0.22464994489727225,0.23267209095889615
P12,0,0,p00 x Delta_mean,-0.2355567750260722,0.2355567750260722,,"0,1,2,5,10,16,18,24",0.125,0.045454545454545456,0.07954545454545454,0.12351131643867984,0.5155301937530121,0.21856395407057286,0.19366093795365666,0.0249030161169162,0.029369229239472747,0.8775627535296946,2.263339564774886,2.954580288944214,-0.6912407241693277,-0.04916573971078977,0.7964029673512731,2.5308737560639765,2.5151535293198375,0.015720226744138976,-0.07452725250278086,0.6954997391980633,-0.06883832353708016,-0.06916576770080951,0.0003274441637293457,0.10478309232480533,0.5815962537668229,0.06883832353708016,0.06916576770080951,-0.0003274441637293457,-0.10478309232480533,0.5815962537668229,-8.20228881035226,-7.979143960905122,-0.22314484944713708,-0.17864293659621802,0.34490456300229666,0.0,0.0,0.0,,
P13,1,2,p00 x Theta_mean,-0.4800202111340131,0.4800202111340131,0.0145275432646115,"3,5,11,14,18,23,28,29",0.0,0.045454545454545456,-0.045454545454545456,-0.11799795146932425,0.5345899727932935,0.17133609385557394,0.22132264928433676,-0.04998655542876282,-0.2395995550611791,0.20222102890238194,2.8168005394351034,2.5907095402473264,0.2260909991877771,0.27875417130144603,0.13578511553789818,2.530866717680418,2.6579699129658922,-0.12710319528547442,-0.21557285873192436,0.2525886590804357,-0.07147940777894932,-0.06138284779979899,-0.010096559979150328,-0.14705228031145717,0.4380773551924662,0.07147940777894932,0.06138284779979899,0.010096559979150328,0.14705228031145717,0.4380773551924662,-8.265780493858287,-7.881982352252012,-0.3837981416062748,-0.23515016685205786,0.21098110982847498,0.0,0.0,0.0,,
P14,0,0,p00 x Gamma_mean,-0.3044998825165325,0.3044998825165325,,"0,2,9,11,12,20,23,25",0.125,0.22727272727272727,-0.10227272727272727,-0.18292924084492168,0.33326022830138363,0.16578104404444638,0.21430582138073734,-0.04852477733629096,0.22490400702850918,0.2321302522724407,4.209336130100949,3.5144116447751017,0.6949244853258474,0.026918798665183537,0.8877114005855589,2.254184367848804,2.50818795407905,-0.2540035862302461,0.12880978865406006,0.49753319205200913,-0.05274103002234601,-0.06468402128008931,0.011942991257743299,0.22491657397107895,0.23210347272670978,0.05274103002234601,0.06468402128008931,-0.011942991257743299,-0.22491657397107895,0.23210347272670978,-7.828299607581651,-7.695635361808465,-0.13266424577318592,0.2596218020022247,0.1659071671041031,0.0,0.0,0.0,,
P15,0,0,p11 x Theta_mean,0.3315670713582633,0.3315670713582633,,"3,4,13,19,20,21,24,28",0.125,0.09090909090909091,0.03409090909090909,0.3273470625645967,0.07743194277978556,0.26636372262861974,0.25434610560986076,0.012017617018758975,-0.15869131329609604,0.40226578090916,3.779325059655537,4.139955398169649,-0.36063033851411186,0.12614015572858733,0.5065612472958686,2.870154051711588,2.419962997744203,0.450191053967385,0.05583982202447163,0.7694609720013511,-0.04574786560663223,-0.0269951283795753,-0.01875273722705693,0.14304783092324808,0.4507868543266535,0.04574786560663223,0.08365355098453305,-0.037905685377900816,-0.21156840934371526,0.26172155259469615,-7.54613563807583,-7.987813367567611,0.4416777294917811,0.0024471635150166847,0.9897601406859131,0.0,0.18181818181818182,-0.18181818181818182,-0.10196159414665662,0.5918637407265754
P16,1,2,p00 x Theta_mean,0.4018237228406448,0.4018237228406448,0.0390487593374869,"1,2,4,16,19,21,25,26",0.125,0.045454545454545456,0.07954545454545454,0.15438914554834976,0.4153050303247528,0.1759226316333818,0.27043432344101387,-0.09451169180763208,-0.006674824827152898,0.9720746707580632,4.129286505012444,3.2316888819212988,0.8975976230911451,-0.05850945494994438,0.7587555295721804,2.348760204482489,2.713035953076566,-0.3642757485940771,-0.058954393770856504,0.756975472697446,-0.01724854562659754,-0.036310099191386745,0.019061553564789207,-0.06607341490545049,0.7286658674295456,0.08723099196635617,0.06462405410810355,0.022606937858252615,0.040266963292547274,0.8326804047464437,-8.604135972151898,-7.449434300699801,-1.1547016714520968,-0.22180200222469412,0.23880395639710442,0.125,0.22727272727272727,-0.10227272727272727,-0.19255709562623338,0.30799209764337926
P17,0,0,p10 x Gamma_mean,0.2841133606664715,0.2841133606664715,,"2,3,4,10,12,14,25,28",0.25,0.09090909090909091,0.1590909090909091,0.12461972617924699,0.5117391005174621,0.043105376050657174,0.15352429601961878,-0.11041891996896161,-0.2521159692387733,0.17893221775085752,3.041775097338573,3.4140685560120163,-0.3722934586734432,-0.09632925472747497,0.6125912726882877,2.0415630987593825,2.19097497095533,-0.14941187219594765,0.055394883203559515,0.7712493167085642,-0.06780604689365397,-0.06235662856772528,-0.005449418325928684,0.22313681868743046,0.2359167000378454,0.06780604689365397,0.06235662856772528,0.005449418325928684,-0.22313681868743046,0.2359167000378454,-8.306068868745859,-8.439586323396817,0.1335174546509581,0.1243604004449388,0.5126248379279994,0.0,0.0,0.0,,
P18,0,0,p11 x Gamma_mean,0.2732742704293616,0.2732742704293616,,"1,6,10,12,14,17,22,27",0.125,0.13636363636363635,-0.011363636363636354,-0.033987198048885545,0.8584899304811865,0.26604653673442,0.12588321041891928,0.14016332631550074,0.13496667611192278,0.4770252305896776,4.276638369971435,3.8714228773981545,0.4052154925732805,-0.21067853170189096,0.2637799988692376,2.546426644481629,1.9925309016707102,0.5538957428109186,0.13014460511679646,0.4930497416401701,-0.07026884454028873,-0.023483687227748316,-0.04678515731254041,-0.3308120133481646,0.07416427730755928,0.07026884454028873,0.07547142325442449,-0.005202578714135764,0.14260289210233593,0.45221109012212074,-7.529240790191641,-8.008972027568175,0.47973123737653456,0.0033370411568409346,0.9860368669198688,0.375,0.13636363636363635,0.23863636363636365,0.16367353128229833,0.38745955522906783
P19,1,3,p10 x Beta_mean,0.5278740785199616,0.5278740785199616,0.0081513795204246,"0,5,11,14,15,20,24,27",0.0,0.045454545454545456,-0.045454545454545456,0.07508960548047908,0.6933121455934068,0.264418801245465,0.2961435691070916,-0.03172476786162659,-0.09499443826473859,0.6175475919174654,3.080920951053719,2.5838804771460127,0.49704047390770656,0.3561735261401557,0.05337938929012549,2.579705918635832,2.794708844200533,-0.21500292556470102,-0.2943270300333704,0.11438288816004179,-0.011373230871744237,-0.010460770772406446,-0.0009124600993377918,-0.12124582869855395,0.5233214598378129,0.011373230871744237,0.010460770772406446,0.0009124600993377918,0.12124582869855395,0.5233214598378129,-8.205542334537121,-7.583897700265117,-0.6216446342720037,-0.25294771968854285,0.17745448920423734,0.0,0.0,0.0,,
P2,1,2,p01 x Alpha_mean,0.3754353726646792,0.3754353726646792,0.0458132778041538,"1,5,7,8,12,13,16,29",0.25,0.09090909090909091,0.1590909090909091,0.1812650562607229,0.33775240802533685,0.2741137422269031,0.22976051757077967,0.04435322465612343,-0.021158142294773374,0.9116354924673656,2.7364069854640882,2.5855017491221544,0.15090523634193387,0.24849833147942155,0.18546010138233066,2.476416640756409,2.5296933463250046,-0.05327670556859543,-0.06518353726362626,0.7321863531135642,-0.004428844792819013,-0.003180519210668625,-0.001248325582150388,-0.06651835372636263,0.7269076460133549,0.004428844792819013,0.003180519210668625,0.001248325582150388,0.06651835372636263,0.7269076460133549,-7.514750961277003,-7.675896317072161,0.1611453557951581,-0.020244716351501667,0.9154364690235783,0.0,0.0,0.0,,
P20,0,0,p10 x Gamma_mean,-0.2152114445756076,0.2152114445756076,,"0,11,12,13,22,27,28,29",0.125,0.13636363636363635,-0.011363636363636354,0.14727785821183736,0.4373672536801093,0.14832308587219456,0.2351535791357942,-0.08683049326359965,-0.21603576869400185,0.2515466188349952,2.558016388463757,3.0258695079950217,-0.46785311953126474,-0.13236929922135707,0.4856230559252266,2.4907806589414223,2.455198270084116,0.035582388857306135,-0.09899888765294772,0.6027289022857427,-0.012709340172896374,-0.012241767320487316,-0.0004675728524090577,-0.09944382647385984,0.6010917668848579,0.012709340172896374,0.012241767320487316,0.0004675728524090577,0.09944382647385984,0.6010917668848579,-8.510018742989278,-7.823627857984399,-0.6863908850048785,-0.14438264738598441,0.44652858624492425,0.0,0.0,0.0,,
P21,0,0,p00 x Theta_mean,0.2870067807264222,0.2870067807264222,,"3,5,6,7,9,16,22,23",0.375,0.18181818181818182,0.19318181818181818,0.3050300642250064,0.10120140984650376,0.1485618107412309,0.27273777554164236,-0.12417596480041146,-0.4022913148149453,0.027533127296925267,4.428531696965738,3.127642469730517,1.300889227235221,0.30634037819799775,0.09966978420021302,2.2067144301954755,2.5373025384516446,-0.330588108256169,-0.4117908787541713,0.023758748913501986,-0.02506359826345611,-0.025314355466456905,0.000250757203000794,0.4197997775305895,0.020916166257504584,0.02506359826345611,0.047565302687595394,-0.022501704424139284,-0.546607341490545,0.0017762317844310913,-8.744081710240335,-8.062162960498894,-0.6819187497414418,-0.2992213570634038,0.10820527641076165,0.25,0.045454545454545456,0.20454545454545453,0.1861385257720256,0.3247008132404729
P22,0,0,p11 x Delta_mean,0.2275066936118706,0.2275066936118706,,"5,6,12,13,15,18,24,28",0.0,0.045454545454545456,-0.045454545454545456,-0.22526881644143723,0.2313537042552524,0.4560852271547404,0.3348815791497172,0.1212036480050232,0.07052280311457175,0.7111457528980899,2.745855552409368,2.9973829692276457,-0.2515274168182775,0.1657397107897664,0.3814126631130643,2.842426344850554,2.717449813665692,0.12497653118486207,-0.04293659621802002,0.8217581863628631,-0.07380268220744124,-0.05340122356953709,-0.02040145863790415,-0.046941045606229144,0.8054365152598832,0.07380268220744124,0.05340122356953709,0.02040145863790415,0.046941045606229144,0.8054365152598832,-6.909452419025356,-7.8413642683363545,0.9319118493109988,0.10878754171301447,0.5671608241245691,0.0,0.0,0.0,,
P23,0,0,p11 x Delta_mean,0.307424265367654,0.307424265367654,,"0,1,4,5,6,7,24,25",0.125,0.0,0.125,0.31622776601683794,0.09467610100466277,0.1395580841813054,0.2710242637633666,-0.1314661795820612,-0.21527093596059108,0.2620802790301181,4.023824066233683,2.7244746041289005,1.2993494621047823,0.43793103448275855,0.017501087829550795,2.144793301043677,2.542832240049567,-0.39803893900589005,-0.167487684729064,0.3851576059296902,-0.0024549425557999125,-0.0022282446127822268,-0.00022669794301768574,-0.25200147992600613,0.18724335343312323,0.0024549425557999125,0.0022282446127822268,0.00022669794301768574,0.25200147992600613,0.18724335343312323,-8.197986854785675,-7.716322959618582,-0.4816638951670935,-0.06798029556650244,0.72604772366202,0.0,0.0,0.0,,
P24,0,0,p01 x Delta_mean,0.2539024277651192,0.2539024277651192,,"2,3,5,15,25,26,27,29",0.125,0.0,0.125,0.3110855084191276,0.09426914703651273,0.19694728689879226,0.2999870055724178,-0.10303971867362555,-0.3325917686318131,0.07252779961817897,3.167080206005417,2.693877993890741,0.47320221211467617,0.1568409343715239,0.4078453205840992,2.505242399348905,2.550903163947788,-0.04566076459888313,-0.16929922135706338,0.3711247449621318,-0.0018129055933838877,-0.0015566212565372736,-0.00025628433684661404,-0.0046718576195773085,0.9804525192051992,0.0018129055933838877,0.0015566212565372736,0.00025628433684661404,0.0046718576195773085,0.9804525192051992,-7.8918263424169295,-7.56755208011943,-0.3242742622974992,-0.15773081201334815,0.4051566075320582,0.0,0.0,0.0,,
P25,0,0,p00 x Beta_mean,-0.3503669749675108,0.3503669749675108,,"0,2,5,11,14,15,26,29",0.375,0.09090909090909091,0.28409090909090906,0.28417669854432226,0.1280249799966604,0.12156942108377101,0.17514316721553044,-0.05357374613175943,-0.01761431357177328,0.9263921123449912,2.819854803441129,3.6465336023882027,-0.8266787989470736,-0.18442714126807563,0.3292482310617581,2.3160526755572977,2.20328765624771,0.11276501930958771,0.20489432703003335,0.2774166832456207,-0.0019458944096969583,-0.001877001437214396,-6.889297248256223e-05,-0.0424916573971079,0.8235763471138854,0.0019458944096969583,0.001877001437214396,6.889297248256223e-05,0.0424916573971079,0.8235763471138854,-7.398779538147766,-8.173327476890146,0.7745479387423799,0.43448275862068964,0.01643196501165801,0.0,0.0,0.0,,
P26,0,0,p11 x Alpha_mean,0.3504279202068583,0.3504279202068583,,"5,7,12,17,19,24,27,29",0.125,0.0,0.125,0.3110855084191276,0.09426914703651273,0.22536639212560117,0.27676035854072806,-0.05139396641512689,-0.009566184649610678,0.9599862888364576,2.276353934707288,2.3695974393486643,-0.09324350464137643,-0.23692992213570632,0.20744647963278534,3.070856586066637,2.8913911625806628,0.17946542348597427,0.4251390433815351,0.019181461077013795,-0.0016700057049321925,-0.0014562137026244558,-0.00021379200230773666,-0.08477970837395293,0.6560092091916793,0.0016700057049321925,0.0014562137026244558,0.00021379200230773666,0.08477970837395293,0.6560092091916793,-7.055794969369611,-7.222298886279696,0.16650391691008526,0.1568409343715239,0.4078453205840992,0.0,0.0,0.0,,
P3,0,0,p01 x Delta_mean,-0.2818232830259087,0.2818232830259087,,"3,7,12,14,17,22,25,27",0.25,0.045454545454545456,0.20454545454545453,0.37869562139825896,0.03905210865658377,0.16261159048470908,0.3296916442949432,-0.1670800538102341,-0.42087696135051555,0.02055617023704314,2.5535067224844106,2.3079751221267752,0.24553160035763533,0.05094549499443826,0.7891945915897939,2.551184708168919,2.63788984342382,-0.08670513525490087,-0.20934371523915463,0.2668874072027018,-0.006723461148148287,-0.0035594042261848677,-0.0031640569219634194,-0.1635150166852058,0.387925734516576,0.006723461148148287,0.0035594042261848677,0.0031640569219634194,0.1635150166852058,0.387925734516576,-7.575243685247013,-7.503416083022103,-0.07182760222491069,-0.13726362625139044,0.4694880456705674,0.0,0.0,0.0,,
P4,1,4,p00 x Beta_mean,0.4299810945114338,0.4299810945114338,0.0375027046114459,"0,5,7,21,23,24,25,28",0.0,0.09090909090909091,-0.09090909090909091,0.0,1.0,0.29476695884629445,0.2714563841552049,0.023310574691089547,-0.02981421756128294,0.8757217918678257,2.558388953305662,3.282300607167628,-0.7239116538619661,0.2654060066740823,0.15634031344449362,2.8160661187540503,2.4763955748213724,0.3396705439326779,0.08387096774193549,0.6594749201050074,-0.018025254701565477,-0.019989713312157417,0.0019644586105919404,-0.10835465636078204,0.5687134560377977,0.018025254701565477,0.019989713312157417,-0.0019644586105919404,0.10835465636078204,0.5687134560377977,-7.465905646723888,-7.770921357811053,0.3050157110871652,0.11813125695216908,0.5341252028753448,0.0,0.0,0.0,,
P5,0,0,p10 x Gamma_mean,-0.3428875419024877,0.3428875419024877,,"4,7,8,13,19,20,22,28",0.0,0.09090909090909091,-0.09090909090909091,-0.01543891455483498,0.9354627274001363,0.2405089854779162,0.15674526693459737,0.08376371854331882,0.059405940961660776,0.7551702230031595,2.580797379843715,2.995559862903241,-0.4147624830595258,-0.22135706340378197,0.2397715890530769,2.5607492930874125,2.3431711525684604,0.21757814051895208,0.16796440489432704,0.374963478377857,-0.0042553250184504,-0.0027679734358970957,-0.0014873515825533042,-0.07408231368186874,0.6972322835738773,0.0042553250184504,0.0027679734358970957,0.0014873515825533042,0.07408231368186874,0.6972322835738773,-7.33701317702409,-7.551284532008719,0.21427135498462846,0.061179087875417135,0.7480936237982676,0.0,0.0,0.0,,
P6,0,0,p01 x Alpha_mean,-0.3357451706814688,0.3357451706814688,,"4,8,10,13,17,19,22,26",0.0,0.0,0.0,,,0.2590486438657195,0.33828247573547715,-0.07923383186975763,-0.09410456062291435,0.6208609916262411,2.192552958803615,2.3562661230625426,-0.1637131642589278,-0.09499443826473859,0.6175475919174654,2.7431941209289823,2.914117087517383,-0.1709229665884009,-0.21690767519466073,0.24959160758351137,-0.0019392824286214498,-0.0016713260820086404,-0.0002679563466128094,-0.037379019032056225,0.8445302134489221,0.0019392824286214498,0.0016713260820086404,0.0002679563466128094,0.037379019032056225,0.8445302134489221,-8.191682783007632,-7.276571932576923,-0.9151108504307093,-0.21245828698553948,0.2596736276130158,0.0,0.0,0.0,,
P7,0,0,p10 x Gamma_mean,0.3293006067845571,0.3293006067845571,,"1,3,9,17,19,21,27,29",0.125,0.18181818181818182,-0.05681818181818182,0.07750273596663335,0.683952493244781,0.07055817416343935,0.13049999406044657,-0.059941819897007226,-0.29052469093696937,0.11936038572895492,3.998976001027963,2.9884751909965646,1.0105008100313984,0.21112347052280311,0.2627494602289409,2.1650899486959005,2.218611186508159,-0.05352123781225826,-0.20222469410456062,0.28386083333448403,-0.035874837635709055,-0.04178255133225781,0.005907713696548758,0.2596218020022247,0.1659071671041031,0.035874837635709055,0.04178255133225781,-0.005907713696548758,-0.2596218020022247,0.1659071671041031,-8.093742871527553,-8.272588357108585,0.1788454855810322,-0.024249165739710785,0.8987876795986027,0.0,0.0,0.0,,
P8,1,2,p11 x Beta_mean,-0.5073559166077511,0.5073559166077511,0.0084274305983528,"0,1,7,13,17,19,20,26",0.125,0.09090909090909091,0.03409090909090909,0.08344140810470113,0.6611155674223077,0.26777177640027183,0.22693187022872496,0.04083990617154687,0.031382153120265835,0.8692402105808851,3.440675408049739,2.559004928445267,0.8816704796044719,-0.11012235817575085,0.5623853600295885,2.834800587795271,2.6397463640363426,0.19505422375892856,0.33615127919911014,0.06933876905332936,-0.03645414747850527,-0.01997683252101944,-0.01647731495748583,-0.2961067853170189,0.11210685578908954,0.03645414747850527,0.04212959873137956,-0.005675451252874289,0.18264738598442715,0.3340184714730011,-7.385585652708041,-7.893549626541577,0.5079639738335358,0.27252502780867627,0.14511690303807867,0.0,0.13636363636363635,-0.13636363636363635,-0.23748708460568785,0.20634833939987468
P9,0,0,p11 x Gamma_mean,0.2127057758727638,0.2127057758727638,,"0,7,10,13,14,18,23,24",0.125,0.09090909090909091,0.03409090909090909,0.08344140810470113,0.6611155674223077,0.3298465438299226,0.3134392607760665,0.016407283053856137,-0.16403295638039658,0.38640371027705034,2.410084011324745,2.535512334658954,-0.12542832333420906,-0.1474972191323693,0.4366773237583306,2.8600397067298666,2.929221733882178,-0.06918202715231159,-0.2631813125695217,0.1599719012410409,-0.04233293254086809,-0.036862576210210364,-0.005470356330657726,-0.11279199110122358,0.5528899062111671,0.04233293254086809,0.036862576210210364,0.005470356330657726,0.11279199110122358,0.5528899062111671,-7.236365924522918,-7.210621150760647,-0.02574477376227069,-0.04961067853170189,0.7945993085612236,0.0,0.0,0.0,,
